number,S1,S2,S3,Total,Anchor,Pass
3160600143,45,36,29,110,34.5,1
3160600144,37,33,32,102,58.7,1
3160600145,38,29,29,96,53.5,0
3160600146,52,30,21,103,36.8,1
3160600147,48,42,22,112,58.7,1
3160600148,52,37,34,123,17.8,1
3160600149,51,40,29,120,53.5,1
3160600150,20,18,36,74,41.3,0
3160600151,38,28,34,100,16.7,1
3160600152,30,26,31,87,22.9,0
3160600153,40,34,41,115,83.3,1
3160600154,52,40,25,117,53.5,1
3160600155,37,28,18,83,60.3,0
3160600156,51,31,31,113,76.5,1
3160600157,15,26,20,61,0,0
3160600158,41,30,39,110,83.3,1
3160600159,25,19,19,63,59.7,0
3160600160,26,25,20,71,35.7,0
3160600161,24,20,13,57,39.7,0
3160600162,46,42,35,123,83.3,1
3160600163,33,22,27,82,35.7,0
3160600164,45,38,33,116,36.8,1
3160600165,45,32,18,95,100,0
3160600166,34,21,25,80,35.7,0
3160600167,39,27,30,96,59.7,0
3160600168,29,24,15,68,16.7,0
3160600169,48,33,24,105,60.3,1
3160600170,43,34,27,104,59.7,1
3160600171,41,27,25,93,59.7,0
3160600172,26,35,19,80,58,0
3160600173,25,24,16,65,16.7,0
3160600174,8,21,14,43,23.5,0
3160600175,41,30,34,105,60.3,1
3160600176,46,38,38,122,60.3,1
3160600177,38,25,43,106,83.3,1
3160600178,26,20,20,66,35.7,0
3160600179,47,38,25,110,83.3,1
3160600180,31,16,19,66,42.6,0
3160600181,41,35,18,94,19,0
3160600182,44,29,44,117,42.6,1
3160600183,36,33,22,91,16.7,0
3160600184,54,37,16,107,53.5,1
3160600185,46,36,35,117,40.7,1
3160600186,50,43,22,115,58,1
3160600187,30,22,23,75,41.3,0
3160600188,41,28,33,102,82.2,1
3160600189,25,27,22,74,39.7,0
3160600190,44,27,23,94,76.5,0
3160600191,40,32,27,99,41.3,0
3160600192,52,48,31,131,35.7,1
3160600193,36,40,31,107,59.3,1
3160600194,51,39,23,113,59.7,1
3160600195,43,25,20,88,59.3,0
3160600196,33,31,21,85,58,0
3160600197,37,30,18,85,60.3,0
3160600198,21,22,27,70,46.5,0
3160600199,39,29,33,101,63.2,1
3160600200,38,27,17,82,0,0
3160600201,56,42,29,127,53.5,1
3160600202,39,47,26,112,76.5,1
3160600203,41,32,36,109,53.5,1
3160600204,22,28,20,70,40.7,0
3160600205,43,32,19,94,36.8,0
3160600206,49,35,27,111,76.5,1
3160600207,39,25,30,94,77.1,0
3160600208,25,21,29,75,17.8,0
3160600209,47,24,12,83,36.8,0
3160600210,54,45,20,119,53.5,1
3160600211,51,41,22,114,53.5,1
3160600212,48,26,14,88,36.8,0
3160600213,43,27,12,82,53.5,0
3160600214,37,36,33,106,77.1,1
3160600215,18,35,16,69,16.7,0
3160600216,53,35,31,119,76.5,1
3160600217,49,21,33,103,36.8,1
3160600218,31,13,21,65,76.5,0
3160600219,36,31,25,92,19,0
3160600220,45,34,27,106,17.8,1
3160600221,30,26,39,95,34.5,0
3160600222,37,26,20,83,42.6,0
