number,S1,S2,S3,Total,Anchor,Pass
3190800617,20,25,16,61,57.4,0
3190800618,41,33,25,99,57.4,1
3190800619,27,24,27,78,34.5,0
3190800620,29,28,35,92,36.8,1
3190800621,12,23,12,47,34.5,0
3190800622,42,40,34,116,60.3,1
3190800623,34,31,24,89,23.5,1
3190800624,41,22,29,92,83.3,1
3190800625,56,51,34,141,53.5,1
3190800626,18,27,47,92,81,1
3190800627,31,35,30,96,76.5,1
3190800628,38,27,15,80,40.7,0
3190800629,33,28,27,88,77.1,0
3190800630,39,33,17,89,53.5,1
3190800631,34,37,34,105,53.5,1
3190800632,20,22,23,65,22.9,0
3190800633,43,34,22,99,16.7,1
3190800634,34,26,18,78,77.1,0
3190800635,18,22,29,69,36.8,0
3190800636,48,46,39,133,83.3,1
3190800637,30,29,25,84,34.5,0
3190800638,42,37,19,98,39.7,1
3190800639,28,29,24,81,17.8,0
3190800640,26,22,27,75,0,0
3190800641,51,47,31,129,53.5,1
3190800642,54,52,31,137,53.5,1
3190800643,45,44,24,113,53.5,1
3190800644,18,17,25,60,42,0
3190800645,12,14,17,43,64.3,0
3190800646,49,46,29,124,100,1
3190800647,27,24,35,86,58.7,0
3190800648,32,36,38,106,40.3,1
3190800649,32,26,12,70,34.5,0
3190800650,47,37,29,113,41.3,1
3190800651,49,42,31,122,76.5,1
3190800652,37,29,28,94,42.6,1
3190800653,47,46,31,124,53.5,1
3190800654,24,29,24,77,41.3,0
3190800655,41,39,24,104,41.3,1
3190800656,43,39,27,109,59.7,1
3190800657,15,11,22,48,23.5,0
3190800658,30,48,42,120,100,1
3190800659,36,39,35,110,59.7,1
3190800660,30,30,39,99,83.3,1
3190800661,29,32,34,95,40.7,1
3190800662,52,48,38,138,59.7,1
3190800663,40,33,31,104,59.7,1
3190800664,36,46,28,110,59.7,1
3190800665,39,28,32,99,100,1
3190800666,52,35,24,111,77.1,1
3190800667,31,26,18,75,57.4,0
3190800668,55,47,56,158,100,1
3190800669,36,34,30,100,53.5,1
3190800670,40,41,18,99,16.7,1
3190800671,48,37,29,114,76.5,1
3190800672,21,28,14,63,0,0
3190800673,34,31,30,95,100,1
3190800674,39,0,55,94,64.3,1
3190800675,32,22,39,93,57.4,1
3190800676,35,41,27,103,36.8,1
3190800677,17,17,8,42,0,0
3190800678,42,33,40,115,100,1
3190800679,25,25,20,70,36.8,0
3190800680,20,20,14,54,59.7,0
3190800681,36,32,33,101,60.3,1
3190800682,43,34,24,101,36.8,1
3190800683,35,21,20,76,0,0
3190800684,32,21,18,71,17.8,0
3190800685,50,46,34,130,58,1
3190800686,41,43,32,116,77.1,1
3190800687,37,27,25,89,34.5,1
3190800688,22,36,18,76,16.7,0
3190800689,29,17,32,78,17.8,0
3190800690,24,25,31,80,39.7,0
3190800691,33,32,27,92,42,1
3190800692,27,25,23,75,36.8,0
3190800693,31,32,20,83,76.5,0
3190800694,45,28,18,91,34.5,1
3190800695,48,38,34,120,100,1
3190800696,29,47,38,114,40.7,1
3190800697,30,31,20,81,53.5,0
3190800698,34,38,35,107,83.3,1
3190800699,34,31,23,88,53.5,0
3190800700,39,35,29,103,42,1
3190800701,29,38,22,89,41.3,1
3190800702,39,40,19,98,53.5,1
3190800703,50,44,21,115,57.4,1
3190800704,35,37,46,118,64.3,1
3190800705,38,40,35,113,57.4,1
3190800706,28,21,28,77,42.6,0
3190800707,36,32,34,102,58,1
3190800708,32,28,29,89,59.7,1
3190800709,21,21,30,72,40.7,0
3190800710,44,28,25,97,58.7,1
3190800711,40,51,31,122,77.1,1
3190800712,21,18,26,65,36.8,0
3190800713,32,25,27,84,16.7,0
3190800714,42,34,29,105,59.7,1
3190800715,30,27,37,94,57.4,1
3190800716,46,38,47,131,64.3,1
3190800717,23,25,19,67,22.9,0
3190800718,28,52,40,120,39.7,1
3190800719,24,24,35,83,59.7,0
3190800720,12,25,27,64,40.7,0
3190800721,44,27,29,100,46.5,1
3190800722,23,20,20,63,40.7,0
3190800723,37,28,23,88,40.7,0
3190800724,23,28,16,67,35.7,0
3190800725,28,26,12,66,34.5,0
3190800726,34,30,21,85,57.4,0
3190800727,21,26,31,78,40.7,0
3190800728,45,40,16,101,36.8,1
3190800729,41,44,27,112,57.4,1
3190800730,38,20,30,88,60.3,0
3190800731,23,32,25,80,34.5,0
3190800732,44,50,41,135,58.7,1
3190800733,34,33,32,99,34.5,1
3190800734,30,23,12,65,16.7,0
3190800735,12,16,29,57,40.7,0
3190800736,21,24,20,65,17.8,0
3190800737,14,23,18,55,19,0
3190800738,47,36,22,105,36.8,1
3190800739,39,48,35,122,17.8,1
3190800740,31,20,27,78,39.7,0
3190800741,37,37,15,89,34.5,1
3190800742,51,39,27,117,76.5,1
3190800743,26,26,30,82,42,0
3190800744,26,35,32,93,58,1
3190800745,53,35,30,118,34.5,1
3190800746,28,18,14,60,40.7,0
3190800747,30,34,23,87,57.4,0
3190800748,21,24,29,74,36.8,0
3190800749,30,36,34,100,40.7,1
3190800750,28,30,23,81,81,0
3190800751,39,31,39,109,53.5,1
3190800752,43,25,23,91,59.3,1
3190800753,34,30,22,86,17.8,0
3190800754,34,39,29,102,58,1
3190800755,34,26,31,91,64.3,1
3190800756,20,26,18,64,53.5,0
3190800757,26,26,27,79,0,0
3190800758,36,33,25,94,17.8,1
3190800759,52,43,47,142,100,1
3190800760,25,20,30,75,76.5,0
3190800761,36,22,33,91,83.3,1
3190800762,29,23,20,72,60.3,0
3190800763,32,36,31,99,76.5,1
3190800764,25,33,44,102,64.3,1
3190800765,27,27,17,71,53.5,0
3190800766,54,44,36,134,100,1
3190800767,23,19,23,65,39.7,0
3190800768,17,27,23,67,0,0
3190800769,57,48,34,139,76.5,1
3190800770,24,16,30,70,53.5,0
3190800771,33,26,23,82,64.3,0
3190800772,30,29,32,91,41.3,1
3190800773,22,40,22,84,36.8,0
3190800774,44,28,20,92,36.8,1
3190800775,53,44,27,124,76.5,1
3190800776,23,27,36,86,22.9,0
3190800777,40,33,43,116,41.3,1
3190800778,38,31,27,96,59.7,1
3190800779,28,34,20,82,58,0
3190800780,41,39,18,98,58,1
3190800781,46,40,29,115,34.5,1
3190800782,30,31,16,77,41.3,0
3190800783,26,28,27,81,100,0
3190800784,28,31,12,71,0,0
3190800785,15,18,21,54,0,0
3190800786,55,47,30,132,53.5,1
3190800787,18,18,25,61,17.8,0
3190800788,23,30,25,78,42.6,0
3190800789,21,36,14,71,23.5,0
3190800790,45,33,30,108,34.5,1
3190800791,30,32,18,80,36.8,0
3190800792,36,25,16,77,42.6,0
3190800793,38,16,14,68,36.8,0
3190800794,46,40,30,116,59.7,1
3190800795,42,32,30,104,46.5,1
3190800796,42,43,25,110,58.7,1
3190800797,18,20,37,75,23.5,0
3190800798,48,40,28,116,57.4,1
3190800799,37,22,18,77,60.3,0
3190800800,39,14,0,53,19,0
3190800801,43,33,18,94,36.8,1
3190800802,37,32,21,90,34.5,1
3190800803,39,34,23,96,76.5,1
3190800804,15,27,8,50,16.7,0
3190800805,45,42,32,119,76.5,1
3190800806,42,37,19,98,57.4,1
3190800807,46,30,29,105,40.7,1
3190800808,42,50,24,116,59.3,1
3190800809,39,39,34,112,77.1,1
3190800810,38,37,24,99,57.4,1
3190800811,48,49,35,132,100,1
3190800812,34,20,18,72,76.5,0
3190800813,27,17,23,67,64.3,0
3190800814,25,21,18,64,59.7,0
3190800815,33,25,25,83,76.5,0
3190800816,21,20,14,55,17.8,0
3190800817,23,0,22,45,19,0
3190800818,38,30,18,86,17.8,0
3190800819,32,35,14,81,40.7,0
3190800820,36,28,22,86,76.5,0
3190800821,37,28,22,87,35.7,0
3190800822,22,26,13,61,53.5,0
3190800823,20,26,34,80,40.7,0
3190800824,23,24,24,71,36.8,0
3190800825,26,28,17,71,41.3,0
3190800826,33,37,28,98,59.7,1
3190800827,38,26,18,82,59.7,0
3190800828,57,47,35,139,76.5,1
3190800829,21,35,27,83,58,0
3190800830,21,22,18,61,58,0
3190800831,46,43,27,116,76.5,1
3190800832,15,20,16,51,0,0
3190800833,40,36,24,100,36.8,1
3190800834,33,37,38,108,76.5,1
3190800835,47,48,33,128,53.5,1
3190800836,38,38,29,105,58.7,1
3190800837,37,36,29,102,53.5,1
3190800838,49,45,35,129,53.5,1
3190800839,40,30,29,99,82.2,1
3190800840,28,24,21,73,58,0
3190800841,15,26,20,61,35.7,0
3190800842,14,23,21,58,59.7,0
3190800843,33,36,27,96,59.7,1
3190800844,51,49,32,132,59.7,1
3190800845,52,51,39,142,100,1
3190800846,35,47,25,107,64.3,1
3190800847,26,33,12,71,34.5,0
3190800848,46,44,21,111,58.7,1
3190800849,26,24,18,68,17.8,0
3190800850,47,39,23,109,35.7,1
3190800851,15,24,25,64,57.4,0
3190800852,36,31,27,94,76.5,1
3190800853,24,30,24,78,57.4,0
3190800854,30,30,33,93,58.7,1
3190800855,41,42,38,121,40.7,1
3190800856,23,22,21,66,16.7,0
3190800857,27,23,20,70,76.5,0
3190800858,39,38,28,105,35.7,1
3190800859,21,28,20,69,19,0
3190800860,34,36,20,90,100,1
3190800861,41,27,19,87,17.8,0
3190800862,20,22,17,59,40.7,0
3190800863,32,33,34,99,81,1
3190800864,24,23,31,78,40.7,0
3190800865,30,25,24,79,36.8,0
3190800866,24,29,40,93,58.7,1
3190800867,45,34,28,107,83.3,1
3190800868,19,21,25,65,58,0
3190800869,35,31,19,85,57.4,0
3190800870,21,17,14,52,36.8,0
3190800871,24,34,18,76,53.5,0
3190800872,21,22,17,60,22.9,0
3190800873,49,39,36,124,76.5,1
3190800874,42,27,24,93,34.5,1
3190800875,14,18,14,46,0,0
3190800876,25,19,24,68,41.3,0
3190800877,32,36,14,82,40.7,0
3190800878,36,24,25,85,59.7,0
3190800879,50,45,43,138,76.5,1
3190800880,25,28,23,76,34.5,0
3190800881,26,22,21,69,81,0
3190800882,28,39,32,99,17.8,1
3190800883,40,25,18,83,36.8,0
3190800884,44,34,30,108,76.5,1
3190800885,18,28,19,65,76.5,0
3190800886,33,34,16,83,59.3,0
3190800887,15,16,14,45,59.3,0
3190800888,42,30,38,110,53.5,1
3190800889,13,22,31,66,22.9,0
3190800890,29,18,22,69,60.3,0
3190800891,30,32,20,82,76.5,0
3190800892,29,25,21,75,100,0
3190800893,32,31,16,79,17.8,0
3190800894,49,42,29,120,53.5,1
3190800895,22,31,22,75,19,0
3190800896,40,32,22,94,34.5,1
3190800897,17,14,14,45,0,0
3190800898,29,33,14,76,53.5,0
3190800899,24,22,24,70,40.7,0
3190800900,43,47,29,119,77.1,1
3190800901,55,53,31,139,76.5,1
3190800902,46,41,35,122,76.5,1
3190800903,24,23,19,66,53.5,0
3190800904,19,20,22,61,41.3,0
3190800905,46,43,31,120,19,1
3190800906,32,24,14,70,41.3,0
3190800907,41,44,32,117,100,1
3190800908,36,24,30,90,36.8,1
3190800909,36,30,24,90,17.8,1
3190800910,37,25,20,82,59.7,0
3190800911,27,26,25,78,35.7,0
3190800912,36,23,20,79,34.5,0
3190800913,33,37,18,88,59.7,0
3190800914,50,36,35,121,58.7,1
3190800915,30,27,23,80,19,0
3190800916,22,20,16,58,53.5,0
3190800917,39,33,27,99,53.5,1
3190800918,36,28,32,96,77.1,1
3190800919,30,25,30,85,17.8,0
3190800920,34,27,18,79,34.5,0
3190800921,43,34,31,108,57.4,1
3190800922,32,34,24,90,19,1
3190800923,29,21,23,73,83.3,0
3190800924,50,31,28,109,77.1,1
3190800925,15,21,21,57,22.9,0
3190800926,15,22,0,37,0,0
3190800927,37,42,19,98,53.5,1
3190800928,35,31,32,98,58.7,1
3190800929,38,34,30,102,40.7,1
3190800930,34,27,18,79,36.8,0
3190800931,24,27,18,69,41.3,0
3190800932,51,45,49,145,100,1
3190800933,42,38,26,106,77.1,1
3190800934,37,30,16,83,40.3,0
3190800935,36,44,24,104,63.2,1
3190800936,30,22,20,72,17.8,0
3190800937,25,27,0,52,22.9,0
3190800938,43,33,38,114,59.7,1
3190800939,18,30,32,80,40.7,0
3190800940,19,31,23,73,19,0
3190800941,34,33,12,79,0,0
3190800942,37,43,18,98,76.5,1
3190800943,44,37,32,113,19,1
3190800944,25,20,12,57,0,0
3190800945,45,31,21,97,41.3,1
3190800946,53,40,29,122,36.8,1
3190800947,36,24,27,87,36.8,0
3190800948,31,25,14,70,58,0
3190800949,44,36,28,108,76.5,1
3190800950,36,37,16,89,16.7,1
3190800951,32,35,14,81,53.5,0
3190800952,26,21,21,68,39.7,0
3190800953,38,26,16,80,59.7,0
3190800954,16,25,31,72,22.9,0
3190800955,39,32,27,98,34.5,1
3190800956,26,31,34,91,59.3,1
3190800957,19,27,25,71,40.7,0
3190800958,37,38,20,95,36.8,1
3190800959,33,31,23,87,34.5,0
3190800960,50,47,39,136,34.5,1
3190800961,28,24,21,73,46.5,0
3190800962,32,37,25,94,17.8,1
3190800963,32,32,16,80,36.8,0
3190800964,20,15,15,50,34.5,0
3190800965,35,46,20,101,81,1
3190800966,19,31,28,78,58.7,0
3190800967,45,19,23,87,17.8,0
3190800968,36,23,18,77,39.7,0
3190800969,22,32,13,67,40.3,0
3190800970,35,23,21,79,53.5,0
3190800971,29,30,16,75,36.8,0
3190800972,36,29,20,85,53.5,0
3190800973,16,23,12,51,60.3,0
3190800974,47,37,19,103,35.7,1
3190800975,38,21,20,79,34.5,0
3190800976,24,26,16,66,35.7,0
3190800977,27,32,22,81,36.8,0
3190800978,35,34,16,85,53.5,0
3190800979,46,42,29,117,76.5,1
3190800980,27,20,33,80,57.4,0
3190800981,24,31,32,87,76.5,0
3190800982,47,39,29,115,100,1
3190800983,32,44,18,94,34.5,1
3190800984,34,36,31,101,77.1,1
3190800985,33,35,34,102,100,1
3190800986,43,37,39,119,53.5,1
3190800987,42,44,34,120,76.5,1
3190800988,33,23,23,79,59.3,0
3190800989,47,34,12,93,53.5,1
3190800990,54,48,40,142,100,1
3190800991,31,30,25,86,40.7,0
3190800992,39,44,49,132,81,1
3190800993,29,35,28,92,40.7,1
3190800994,24,38,40,102,64.3,1
3190800995,26,25,25,76,57.4,0
3190800996,23,29,32,84,39.7,0
3190800997,39,42,47,128,64.3,1
3190800998,28,37,52,117,100,1
3190800999,20,21,36,77,76.5,0
3190801000,28,33,40,101,40.7,1
3190801001,34,23,33,90,76.5,1
3190801002,42,37,40,119,64.3,1
3190801003,52,51,50,153,100,1
3190801004,24,28,33,85,59.7,0
3190801005,29,19,29,77,64.3,0
3190801006,38,31,43,112,76.5,1
3190801007,18,28,23,69,22.9,0
3190801008,30,23,21,74,39.7,0
3190801009,34,40,40,114,100,1
3190801010,36,33,29,98,77.1,1
3190801011,34,33,35,102,76.5,1
3190801012,21,16,41,78,40.7,0
3190801013,39,41,37,117,59.7,1
3190801014,33,27,35,95,40.7,1
3190801015,32,28,35,95,40.7,1
3190801016,23,21,27,71,57.4,0
3190801017,39,37,38,114,57.4,1
3190801018,33,29,31,93,40.7,1
3190801019,27,21,23,71,58.7,0
3190801020,21,25,27,73,39.7,0
3190801021,34,36,21,91,76.5,1
3190801022,22,29,38,89,58.7,1
3190801023,39,19,21,79,59.7,0
3190801024,32,30,40,102,39.7,1
3190801025,30,24,33,87,40.7,0
3190801026,23,23,30,76,64.3,0
3190801027,26,29,42,97,42,1
3190801028,39,32,23,94,42,1
3190801029,34,35,31,100,57.4,1
3190801030,38,28,35,101,40.7,1
3190801031,30,28,33,91,40.7,1
3190801032,28,37,53,118,100,1
3190801033,33,35,36,104,100,1
3190801034,15,13,30,58,42,0
3190801035,32,33,42,107,40.7,1
3190801036,30,41,34,105,40.7,1
3190801037,33,33,36,102,57.4,1
3190801038,47,47,40,134,59.7,1
3190801039,24,21,14,59,40.7,0
3190801040,38,26,31,95,76.5,1
3190801041,39,30,40,109,58.7,1
3190801042,38,50,53,141,100,1
3190801043,49,36,47,132,100,1
3190801044,16,20,21,57,22.9,0
3190801045,25,17,25,67,59.7,0
3190801046,22,25,36,83,23.5,0
3190801047,46,32,38,116,76.5,1
3190801048,22,20,33,75,39.7,0
3190801049,30,36,44,110,100,1
3190801050,30,26,45,101,100,1
3190801051,32,34,25,91,53.5,1
3190801052,32,35,25,92,53.5,1
3190801053,43,33,25,101,36.8,1
3190801054,32,29,25,86,34.5,0
3190801055,17,18,21,56,16.7,0
3190801056,35,30,25,90,22.9,1
3190801057,44,26,22,92,17.8,1
3190801058,8,24,15,47,19,0
3190801059,31,32,25,88,59.7,0
3190801060,29,25,29,83,83.3,0
3190801061,37,31,25,93,57.4,1
3190801062,35,28,18,81,76.5,0
3190801063,35,43,33,111,17.8,1
3190801064,36,32,31,99,17.8,1
3190801065,37,25,23,85,59.7,0
3190801066,21,28,24,73,41.3,0
3190801067,33,27,18,78,17.8,0
3190801068,39,43,27,109,57.4,1
3190801069,29,26,28,83,58,0
3190801070,43,38,27,108,81,1
3190801071,32,23,19,74,77.1,0
3190801072,22,22,21,65,59.3,0
3190801073,49,44,41,134,59.7,1
3190801074,28,29,31,88,57.4,0
3190801075,48,39,31,118,59.7,1
3190801076,43,41,27,111,53.5,1
3190801077,32,43,34,109,40.7,1
3190801078,43,28,29,100,41.3,1
3190801079,32,32,32,96,59.7,1
3190801080,41,50,32,123,53.5,1
3190801081,56,54,39,149,100,1
3190801082,23,24,21,68,39.7,0
3190801083,35,30,29,94,59.7,1
3190801084,40,31,35,106,81,1
3190801085,33,24,23,80,36.8,0
3190801086,35,27,29,91,34.5,1
3190801087,38,33,30,101,53.5,1
3190801088,25,27,27,79,36.8,0
3190801089,37,27,36,100,60.3,1
3190801090,34,30,39,103,64.3,1
3190801091,35,32,25,92,57.4,1
3190801092,31,24,14,69,63.2,0
3190801093,21,22,20,63,41.3,0
3190801094,25,34,28,87,57.4,0
3190801095,33,31,23,87,57.4,0
3190801096,39,41,27,107,59.7,1
3190801097,24,40,33,97,40.7,1
3190801098,42,22,27,91,59.7,1
3190801099,36,35,25,96,59.7,1
3190801100,33,27,25,85,59.7,0
3190801101,22,27,27,76,57.4,0
3190801102,27,20,21,68,76.5,0
3190801103,54,27,37,118,76.5,1
3190801104,18,23,36,77,16.7,0
3190801105,32,17,12,61,53.5,0
3190801106,39,30,21,90,76.5,1
3190801107,43,29,29,101,36.8,1
3190801108,29,26,27,82,34.5,0
3190801109,31,30,34,95,100,1
3190801110,48,51,48,147,81,1
3190801111,34,30,38,102,40.7,1
3190801112,19,31,23,73,57.4,0
3190801113,41,25,29,95,59.7,1
3190801114,44,42,27,113,53.5,1
3190801115,30,35,40,105,83.3,1
3190801116,29,23,22,74,35.7,0
3190801117,31,33,32,96,57.4,1
3190801118,32,29,32,93,17.8,1
3190801119,19,36,25,80,22.9,0
3190801120,29,35,23,87,57.4,0
3190801121,24,17,22,63,36.8,0
3190801122,43,29,19,91,34.5,1
3190801123,23,27,21,71,46.5,0
3190801124,22,18,25,65,36.8,0
3190801125,22,28,33,83,40.7,0
3190801126,21,29,23,73,39.7,0
3190801127,27,22,16,65,36.8,0
3190801128,35,24,23,82,76.5,0
3190801129,28,38,26,92,40.3,1
3190801130,27,27,18,72,53.5,0
3190801131,30,29,29,88,59.7,0
3190801132,36,27,21,84,36.8,0
3190801133,47,46,36,129,83.3,1
3190801134,35,33,25,93,59.7,1
3190801135,29,15,25,69,16.7,0
3190801136,46,50,34,130,76.5,1
3190801137,43,31,36,110,64.3,1
3190801138,27,27,23,77,65.5,0
3190801139,19,16,21,56,58,0
3190801140,35,32,8,75,17.8,0
3190801141,48,53,37,138,53.5,1
3190801142,24,21,0,45,36.8,0
3190801143,44,35,22,101,36.8,1
3190801144,40,36,29,105,57.4,1
3190801145,28,28,23,79,100,0
3190801146,27,20,20,67,60.3,0
3190801147,48,51,50,149,76.5,1
3190801148,35,20,37,92,76.5,1
3190801149,31,14,21,66,40.7,0
3190801150,22,34,29,85,58.7,0
3190801151,8,25,8,41,17.8,0
3190801152,26,25,34,85,76.5,0
3190801153,30,20,25,75,76.5,0
3190801154,29,26,33,88,40.7,0
3190801155,39,33,29,101,53.5,1
3190801156,50,43,35,128,53.5,1
3190801157,32,17,25,74,82.2,0
3190801158,31,29,33,93,40.7,1
3190801159,37,23,35,95,76.5,1
3190801160,37,29,27,93,34.5,1
3190801161,36,27,29,92,59.7,1
3190801162,31,43,29,103,58,1
3190801163,24,28,35,87,81,0
3190801164,39,40,31,110,17.8,1
3190801165,26,41,52,119,100,1
3190801166,40,35,26,101,58,1
3190801167,39,27,21,87,59.7,0
3190801168,16,22,18,56,64.3,0
3190801169,50,53,46,149,100,1
3190801170,21,18,2,41,34.5,0
3190801171,22,16,26,64,40.3,0
3190801172,36,44,42,122,81,1
3190801173,38,32,29,99,81,1
3190801174,32,29,30,91,77.1,1
3190801175,37,20,19,76,76.5,0
3190801176,35,25,27,87,53.5,0
3190801177,19,27,29,75,53.5,0
3190801178,27,25,42,94,17.8,1
3190801179,45,37,31,113,100,1
3190801180,22,27,30,79,46.5,0
3190801181,30,31,31,92,59.7,1
3190801182,24,29,31,84,19,0
3190801183,44,44,27,115,100,1
3190801184,38,46,47,131,64.3,1
3190801185,28,30,23,81,59.7,0
3190801186,29,25,26,80,53.5,0
3190801187,36,23,19,78,34.5,0
3190801188,30,30,15,75,57.4,0
3190801189,39,40,36,115,76.5,1
3190801190,44,39,38,121,81,1
3190801191,38,41,34,113,58.7,1
3190801192,25,23,26,74,16.7,0
3190801193,22,30,21,73,40.7,0
3190801194,36,45,39,120,59.7,1
3190801195,47,27,26,100,59.7,1
3190801196,16,34,21,71,34.5,0
3190801197,23,26,23,72,59.7,0
3190801198,31,40,33,104,100,1
3190801199,23,22,27,72,60.3,0
3190801200,29,29,19,77,53.5,0
3190801201,33,28,17,78,36.8,0
3190801202,13,29,29,71,35.7,0
3190801203,36,33,30,99,77.1,1
3190801204,50,35,23,108,59.7,1
3190801205,28,25,17,70,57.4,0
3190801206,33,28,29,90,35.7,1
3190801207,28,17,21,66,17.8,0
3190801208,25,28,25,78,34.5,0
3190801209,44,31,23,98,57.4,1
3190801210,24,27,17,68,0,0
3190801211,36,37,33,106,36.8,1
3190801212,20,25,21,66,58,0
3190801213,39,44,27,110,34.5,1
3190801214,51,37,32,120,53.5,1
3190801215,33,29,29,91,36.8,1
3190801216,46,40,31,117,76.5,1
3190801217,21,26,20,67,34.5,0
3190801218,38,37,30,105,34.5,1
3190801219,36,28,25,89,77.1,1
3190801220,30,23,16,69,34.5,0
3190801221,36,32,25,93,58.7,1
3190801222,37,18,23,78,36.8,0
3190801223,37,20,38,95,40.7,1
3190801224,37,36,29,102,53.5,1
3190801225,41,26,23,90,53.5,1
3190801226,30,36,31,97,76.5,1
3190801227,24,21,27,72,17.8,0
3190801228,26,25,20,71,59.7,0
3190801229,32,30,36,98,59.7,1
3190801230,27,31,31,89,59.7,1
3190801231,39,37,37,113,53.5,1
3190801232,22,24,25,71,83.3,0
3190801233,33,31,18,82,36.8,0
3190801234,26,31,25,82,34.5,0
3190801235,35,46,25,106,77.1,1
3190801236,37,31,29,97,77.1,1
3190801237,30,36,16,82,40.7,0
3190801238,42,30,25,97,76.5,1
3190801239,41,30,20,91,77.1,1
3190801240,49,46,45,140,57.4,1
3190801241,26,27,31,84,76.5,0
3190801242,45,38,44,127,36.8,1
3190801243,24,25,24,73,60.3,0
3190801244,29,29,23,81,36.8,0
3190801245,14,19,21,54,46.5,0
3190801246,23,14,14,51,0,0
3190801247,33,28,28,89,57.4,1
3190801248,32,29,29,90,57.4,1
3190801249,27,28,22,77,35.7,0
3190801250,15,21,16,52,17.8,0
3190801251,28,27,23,78,17.8,0
3190801252,33,23,31,87,17.8,0
3190801253,26,31,30,87,36.8,0
3190801254,40,35,25,100,0,1
3190801255,41,24,29,94,59.7,1
3190801256,34,27,23,84,39.7,0
3190801257,34,31,25,90,42,1
3190801258,26,27,25,78,59.7,0
3190801259,36,34,42,112,76.5,1
3190801260,22,25,14,61,16.7,0
3190801261,29,23,23,75,58.7,0
3190801262,25,24,23,72,42,0
3190801263,31,52,54,137,57.4,1
3190801264,36,27,23,86,53.5,0
3190801265,32,25,14,71,17.8,0
3190801266,28,23,25,76,19,0
3190801267,34,35,33,102,59.7,1
3190801268,17,17,25,59,0,0
3190801269,33,34,37,104,34.5,1
3190801270,18,33,27,78,83.3,0
3190801271,18,29,19,66,35.7,0
3190801272,38,30,16,84,17.8,0
3190801273,29,30,18,77,59.7,0
3190801274,30,23,16,69,59.7,0
3190801275,26,27,25,78,19,0
3190801276,17,16,17,50,19,0
3190801277,26,28,18,72,34.5,0
3190801278,14,23,23,60,63.2,0
3190801279,23,28,16,67,35.7,0
3190801280,45,45,27,117,59.7,1
3190801281,32,17,18,67,17.8,0
3190801282,26,16,34,76,83.3,0
3190801283,30,28,22,80,34.5,0
3190801284,36,27,18,81,19,0
3190801285,29,21,21,71,17.8,0
3190801286,39,31,27,97,59.7,1
3190801287,37,33,27,97,59.7,1
3190801288,39,29,27,95,40.7,1
3190801289,47,43,31,121,57.4,1
3190801290,43,34,39,116,59.7,1
3190801291,45,34,31,110,76.5,1
3190801292,34,38,25,97,58.7,1
3190801293,39,33,30,102,100,1
3190801294,18,23,25,66,17.8,0
3190801295,45,41,27,113,59.7,1
3190801296,39,28,18,85,60.3,0
3190801297,19,21,31,71,77.1,0
3190801298,36,32,31,99,83.3,1
3190801299,19,34,23,76,34.5,0
3190801300,34,35,27,96,53.5,1
3190801301,15,31,25,71,57.4,0
3190801302,43,29,21,93,60.3,1
3190801303,34,21,16,71,42,0
3190801304,36,20,23,79,40.7,0
3190801305,39,32,27,98,34.5,1
3190801306,19,17,19,55,58,0
3190801307,32,35,27,94,53.5,1
3190801308,14,27,20,61,0,0
3190801309,46,39,27,112,53.5,1
3190801310,31,31,14,76,16.7,0
3190801311,43,34,27,104,57.4,1
3190801312,32,34,14,80,17.8,0
3190801313,38,42,33,113,57.4,1
3190801314,26,7,16,49,34.5,0
3190801315,31,35,20,86,17.8,0
3190801316,16,19,19,54,0,0
3190801317,24,34,16,74,81,0
3190801318,27,26,16,69,40.7,0
3190801319,44,47,34,125,76.5,1
3190801320,22,27,23,72,77.1,0
3190801321,22,23,21,66,41.3,0
3190801322,23,27,31,81,36.8,0
3190801323,45,35,23,103,53.5,1
3190801324,39,28,23,90,35.7,1
3190801325,46,40,31,117,58.7,1
3190801326,48,36,34,118,76.5,1
3190801327,25,27,23,75,77.1,0
3190801328,36,36,20,92,81,1
3190801329,49,19,27,95,81,1
3190801330,23,25,17,65,36.8,0
3190801331,37,33,36,106,57.4,1
3190801332,48,32,25,105,53.5,1
3190801333,14,29,20,63,16.7,0
3190801334,27,22,25,74,57.4,0
3190801335,39,29,23,91,17.8,1
3190801336,20,24,25,69,17.8,0
3190801337,38,26,25,89,59.7,1
3190801338,19,19,16,54,0,0
3190801339,43,27,16,86,34.5,0
3190801340,32,29,27,88,34.5,0
3190801341,45,34,22,101,19,1
3190801342,39,35,25,99,42,1
3190801343,42,36,31,109,76.5,1
3190801344,30,24,23,77,36.8,0
3190801345,47,36,25,108,77.1,1
3190801346,41,22,19,82,42,0
3190801347,28,31,16,75,76.5,0
3190801348,24,34,0,58,77.1,0
3190801349,29,33,37,99,76.5,1
3190801350,24,26,18,68,17.8,0
3190801351,43,35,20,98,76.5,1
3190801352,35,35,21,91,34.5,1
3190801353,38,35,23,96,53.5,1
3190801354,16,22,22,60,57.4,0
3190801355,24,24,16,64,40.7,0
3190801356,51,44,27,122,53.5,1
3190801357,33,35,29,97,39.7,1
3190801358,24,26,33,83,83.3,0
3190801359,33,33,26,92,81,1
3190801360,43,48,29,120,81,1
3190801361,32,26,16,74,41.3,0
3190801362,41,33,29,103,34.5,1
3190801363,17,18,0,35,17.8,0
3190801364,33,31,18,82,41.3,0
