number,S1,S2,S3,Total,Anchor,Pass,level,tokuten1,tokuten2,tokuten3
24020189032030,15.457978385251113,29.555555555555557,32.05833333333334,69,0,3,13.850348633184998,26.48177777777778,28.724266666666672
24020189042010,55.46634615384615,0,30.171428571428567,31,0,4,44.15121153846154,0,24.016457142857142
24020189042040,40.043269230769226,0,33.38571428571428,41,0,4,31.874442307692306,0,26.575028571428568
24020189042050,68.51923076923077,0,30.171428571428567,26,0,4,54.5413076923077,0,24.016457142857142
24020189043010,57.34615384615385,0,40.135714285714286,100,1,4,45.64753846153847,0,31.948028571428573
24020189043020,73.83653846153845,0,29.549999999999997,71,1,4,58.77388461538461,0,23.5218
24020189043030,56.85096153846154,0,41.35714285714286,54,1,4,45.253365384615385,0,32.92028571428572
24020189043040,96.95192307692308,0,32.07857142857143,71,1,4,77.17373076923077,0,25.53454285714286
24020189043060,78.77884615384616,0,37.52142857142857,67,1,4,62.70796153846155,0,29.867057142857146
24020189043080,92.58173076923077,0,42.042857142857144,87,1,4,73.6950576923077,0,33.46611428571429
24020889042020,37.98557692307692,0,18.621428571428574,23,0,4,30.23651923076923,0,14.822657142857146
24020889042030,56.27884615384615,0,37.199999999999996,67,1,4,44.79796153846154,0,29.611199999999997
24020889042070,35.480769230769226,0,37.86428571428571,64,0,4,28.242692307692305,0,30.139971428571425
24020889043010,47.72115384615385,0,23.421428571428574,74,0,4,37.98603846153846,0,18.643457142857145
24020889043020,78.82692307692308,0,33.34285714285714,87,1,4,62.74623076923078,0,26.540914285714287
24020889043070,68.60096153846155,0,34.32857142857142,51,1,4,54.606365384615394,0,27.325542857142853
24021589032020,32.44157660521297,43.33333333333333,41.53333333333334,69,1,3,29.067652638270825,38.82666666666666,37.213866666666675
24021589042030,34.04807692307692,0,10.928571428571427,13,0,4,27.10226923076923,0,8.699142857142856
24021589042040,45.16346153846154,0,24.664285714285718,58,0,4,35.95011538461539,0,19.632771428571434
24021589042050,71.21634615384616,0,42.042857142857144,55,1,4,56.688211538461545,0,33.46611428571429
24021589043010,49.793269230769226,0,34.05,35,0,4,39.63544230769231,0,27.1038
24021589043020,72.97115384615384,0,18.942857142857143,77,0,4,58.08503846153846,0,15.078514285714286
24021589043030,103.07211538461539,0,35.91428571428571,81,1,4,82.04540384615385,0,28.58777142857143
24021589043050,61.53365384615385,0,32.72142857142857,49,0,4,48.98078846153847,0,26.04625714285714
24021589043060,81.58173076923077,0,41.05714285714286,81,1,4,64.9390576923077,0,32.681485714285714
24021589043070,50.331730769230774,0,29.485714285714284,62,0,4,40.0640576923077,0,23.47062857142857
24021589043080,88.02403846153845,0,25.37142857142857,59,1,4,70.06713461538462,0,20.195657142857144
24022289032020,35.169802924348375,23.77777777777778,39.1875,69,1,3,31.512143420216145,21.30488888888889,35.112
24022289033040,28.615066751430387,38.0,31.295833333333334,0,0,3,25.63909980928163,34.048,28.04106666666667
24022289042030,65.08653846153845,0,52.30714285714286,71,1,4,51.80888461538461,0,41.63648571428572
24022289042050,55.34615384615385,0,39.792857142857144,71,1,4,44.05553846153846,0,31.67511428571429
24022289043010,67.85096153846155,0,16.07142857142857,73,0,4,54.00936538461539,0,12.792857142857143
24022289043030,85.96153846153845,0,35.91428571428571,87,1,4,68.42538461538462,0,28.58777142857143
24022289043050,82.14423076923077,0,41.357142857142854,81,1,4,65.3868076923077,0,32.92028571428571
24022289043060,64.66346153846155,0,30.814285714285717,35,0,4,51.47211538461539,0,24.528171428571433
24022989032010,34.77310870947235,36.22222222222222,40.05833333333334,85,1,3,31.15670540368723,32.45511111111111,35.89226666666667
24022989032080,31.24294342021615,38.22222222222223,46.05833333333334,85,1,3,27.99367730451367,34.24711111111112,41.26826666666667
24022989042060,47.34615384615385,0,42.34285714285715,55,0,4,37.687538461538466,0,33.704914285714295
24022989043010,78.27403846153845,0,37.2,77,1,4,62.306134615384615,0,29.611200000000004
24022989043030,29.115384615384613,0,22.757142857142856,0,0,4,23.17584615384615,0,18.114685714285713
24022989043040,79.71634615384616,0,46.864285714285714,87,1,4,63.45421153846155,0,37.30397142857143
24022989043060,67.33173076923077,0,51.32142857142857,100,1,4,53.596057692307696,0,40.85185714285714
24030789033010,36.12949777495232,34.22222222222223,41.016666666666666,92,1,3,32.37203000635728,30.663111111111117,36.750933333333336
24030789033040,45.2174507310871,54.22222222222223,54.14583333333333,85,1,3,40.51483585505404,48.583111111111116,48.51466666666666
24030789033070,27.983439287984744,20.88888888888889,30.445833333333333,93,0,3,25.073161602034332,18.716444444444445,27.279466666666668
24030789042050,40.668269230769226,0,26.292857142857144,87,0,4,32.37194230769231,0,20.929114285714288
24030789042070,84.34134615384616,0,32.07857142857143,87,1,4,67.13571153846155,0,25.53454285714286
24030789043030,98.13461538461539,0,45.23571428571429,78,1,4,78.11515384615385,0,36.007628571428576
24030789043080,97.70192307692308,0,40.47857142857143,55,1,4,77.77073076923078,0,32.22094285714286
24031489032050,28.182549268912908,23.111111111111114,44.07083333333333,69,1,3,25.251564144945966,20.707555555555558,39.48746666666667
24031489033010,41.20870947234584,41.55555555555556,45.64583333333333,69,1,3,36.92300368722187,37.23377777777778,40.898666666666664
24031489033020,27.037984742530195,12.0,52.15833333333333,84,0,3,24.226034329307055,10.752,46.733866666666664
24031489042020,35.36538461538461,0,22.435714285714287,23,0,4,28.150846153846153,0,17.858828571428575
24031489042070,69.70192307692308,0,34.67142857142857,81,1,4,55.48273076923078,0,27.598457142857143
24032189042010,46.84134615384615,0,21.49285714285714,33,0,4,37.28571153846154,0,17.108314285714286
